Pais,Poblacion (2020),Densidad,Territorio (Km²),Tasa Migracion,Tasa Fertilidad,Edad Promedio,% Poblacion Urbaba
Mozambique,31398811,40,786380,-5000,4.9,18,38 %
Ghana,31181428,137,227540,-10000,3.9,22,57 %
Yemen,29935468,56,527970,-30000,3.8,20,38 %
Nepal,29225196,203,143350,41710,1.9,25,21 %
Venezuela,28421581,32,882050,-653249,2.3,30,N.A.
Madagascar,27808395,48,581795,-1500,4.1,20,39 %
Camerún,26655083,56,472710,-4800,4.6,19,56 %
Costa de Marfil,26486282,83,318000,-8000,4.7,19,51 %
Corea del Norte,25798588,214,120410,-5403,1.9,35,63 %
Australia,25550683,3,7682300,158246,1.8,38,86 %
Niger,24346468,19,1266700,4000,7,15,17 %
Taiwan,23824369,673,35410,30001,1.2,42,79 %
Sri Lanka,21428970,341,62710,-97986,2.2,34,18 %
Burkina Faso,20997293,76,273600,-25000,5.2,18,31 %
Mali,20346106,17,1220190,-40000,5.9,16,44 %
Rumania,19214608,84,230170,-73999,1.6,43,55 %
Malawi,19211425,203,94280,-16053,4.3,18,18 %
Chile,19144605,26,743532,111708,1.7,35,85 %
Kazajistán,18815231,7,2699700,-18000,2.8,31,58 %
Zambia,18468257,25,743390,-8000,4.7,18,45 %
Guatemala,17971382,167,107160,-9215,2.9,23,52 %
Ecuador,17688599,71,248360,36400,2.4,28,63 %
Siria,17571053,95,183630,-427391,2.8,26,60 %
Paises Bajos,17141544,508,33720,16000,1.7,43,92 %
Senegal,16816539,87,192530,-20000,4.7,19,49 %
Cambodia,16758448,95,176520,-30000,2.5,26,24 %
Chad,16502877,13,1259200,2000,5.8,17,23 %
Somalia,15965848,25,627340,-40000,6.1,17,47 %
Zimbabwe,14899771,38,386850,-116858,3.6,19,38 %
Guinea,13191279,53,245720,-4000,4.7,18,39 %
Rwanda,13005303,525,24670,-9000,4.1,20,18 %
Benin,12175480,108,112760,-2000,4.9,19,48 %
Burundi,11948454,463,25680,2001,5.5,17,14 %
Tunez,11839918,76,155360,-4000,2.2,33,70 %
Bolivia,11700207,11,1083300,-9504,2.8,26,69 %
Bélgica,11598451,383,30280,48000,1.7,42,98 %
Haiti,11426356,414,27560,-35000,3,24,57 %
Cuba,11325391,106,106440,-14400,1.6,42,78 %
Sudán del Sur,11216250,18,610952,-174200,4.7,19,25 %
República Dominicana,10866667,225,48320,-30000,2.4,28,85 %
República Checa,10712481,139,77240,22011,1.6,43,74 %
Grecia,10413936,81,128900,-16000,1.3,46,85 %
Jordania,10220604,115,88780,10220,2.8,24,91 %
Portugal,10191409,111,91590,-6000,1.3,46,66 %
Azerbaiyan,10154978,123,82658,1200,2.1,32,56 %
Suecia,10110233,25,410340,40000,1.9,41,88 %
Honduras,9931333,89,111890,-6800,2.5,24,57 %
Emiratos Árabes Unidos,9910892,118,83600,40000,1.4,33,86 %
Hungría,9655983,107,90530,6000,1.5,43,72 %
Tajikistan,9573310,68,139960,-20000,3.6,22,27 %
Bielorrusia,9448772,47,202910,8730,1.7,40,79 %
Austria,9015361,109,82409,65000,1.5,43,57 %
Papua Nueva Guinea,8975531,20,452860,-800,3.6,22,13 %
Serbia,8731081,100,87460,4000,1.5,42,56 %
Israel,8678517,400,21640,10000,3,30,93 %
Suiza,8665615,219,39516,52000,1.5,43,74 %
Togo,8310934,152,54390,-2000,4.4,19,43 %
Sierra Leona,8004158,111,72180,-4200,4.3,19,43 %
Hong Kong,7507523,7140,1050,29308,1.3,45,N.A.
Laos,7293542,32,230800,-14704,2.7,24,36 %
Paraguay,7147553,18,397300,-16556,2.4,26,62 %
Bulgaria,6939018,64,108560,-4800,1.6,45,76 %
Libia,6887247,4,1759540,-1999,2.3,29,78 %
Libano,6819976,667,10230,-30012,2.1,30,78 %
Nicaragua,6638075,55,120340,-21272,2.4,26,57 %
Kirgistan,6542426,34,191800,-4000,3,26,36 %
El Salvador,6491923,313,20720,-40539,2.1,28,73 %
Turkmenistan,6046292,13,469930,-5000,2.8,27,53 %
Singapore,5858322,8358,700,27028,1.2,42,N.A.
Dinamarca,5795780,137,42430,15200,1.8,42,88 %
Finlandia,5542237,18,303890,14000,1.5,43,86 %
Congo,5540555,16,341500,-4000,4.5,19,70 %
Eslovaquia,5460109,114,48088,1485,1.5,41,54 %
Noreuga,5428594,15,365268,28000,1.7,40,83 %
Oman,5128058,16,309500,87400,2.9,31,87 %
Palestina,5121112,847,6020,-10563,3.7,21,80 %
Costa Rica,5102158,100,51060,4200,1.8,33,80 %
Liberia,5077411,53,96320,-5000,4.4,19,53 %
Irlanda,4947267,72,68890,23604,1.8,38,63 %
República Centroafricana,4843954,8,622980,-40000,4.8,18,43 %
Nueva Zelanda,4829021,18,263310,14881,1.9,38,87 %
Mauritania,4669775,5,1030700,5000,4.6,20,57 %
Panama,4326296,58,74340,11200,2.5,30,68 %
Kuwait,4281320,240,17820,39520,2.1,37,N.A.
Croacia,4100719,73,55960,-8001,1.4,44,58 %
Moldavia,4032294,123,32850,-1387,1.3,38,43 %
Georgia,3987805,57,69490,-10000,2.1,38,58 %
Eritrea,3554797,35,101000,-39858,4.1,19,63 %
Uruguay,3475842,20,175020,-3000,2,36,96 %
Bosnia y Herzegovina,3277152,64,51000,-21585,1.3,43,52 %
Mongolia,3287242,2,1553560,-852,2.9,28,67 %
Armenia,2964219,104,28470,-4998,1.8,35,63 %
Jamaica,2963429,273,10830,-11332,2,31,55 %
Qatar,2889284,248,11610,40000,1.9,32,96 %
Albania,2877239,105,27400,-14000,1.6,36,63 %
Puerto Rico,2846860,323,8870,-97986,1.2,44,N.A.
Lituania,2715340,43,62674,-32780,1.7,45,71 %
Namibia,2548663,3,823290,-4806,3.4,22,55 %
Gambia,2427782,239,10120,-3087,5.3,18,59 %
Botswana,2359585,4,566730,3000,2.9,24,73 %
Gabon,2234448,9,257670,3260,4,23,87 %
Lesotho,2145194,71,30360,-10047,3.2,24,31 %
Macedonia del Norte,2083359,83,25220,-1000,1.5,39,59 %
Eslovenia,2078989,103,20140,2000,1.6,45,55 %
Guinea-Bissau,1975718,70,28120,-1399,4.5,19,45 %
Letonia,1882408,30,62200,-14837,1.7,44,69 %
Bahrain,1711057,2239,760,47800,2,32,89 %
Guinea Ecuatorial,1410419,50,28050,16000,4.6,22,73 %
Triniad y Tobajo,1400283,273,5130,-800,1.7,36,52 %
Estonia,1326693,31,42390,3911,1.6,42,68 %
Timor-Leste,1322667,89,14870,-5385,4.1,21,33 %
Mauricio,1272140,626,2030,0,1.4,37,41 %
Chipre,1208886,131,9240,5000,1.3,37,67 %
Eswatini,1162233,67,17200,-8353,3,21,30 %
Djibouti,990447,43,23180,900,2.8,27,79 %
Fiji,897573,49,18270,-6202,2.8,28,59 %
Réunion,896422,358,2500,-1256,2.3,36,100 %
Comoros,872695,467,1861,-2000,4.2,20,29 %
Guyana,787215,4,196850,-6000,2.5,27,27 %
Bhutan,773069,20,38117,320,2,28,46 %
Islas Salomón,689671,25,27990,-1600,4.4,20,23 %
Macao,650846,21645,30,5000,1.2,39,N.A.
Montenegro,628080,47,13450,-480,1.8,39,68 %
Luxemburgo,627704,242,2590,9741,1.5,40,88 %
Sahara Occidental,599769,2,266000,5582,2.4,28,87 %
Suriname,587541,4,156000,-1000,2.4,29,65 %
Cabo Verde,557026,138,4030,-1342,2.3,28,68 %
Maldivas,542151,1802,300,11370,1.9,30,35 %
Malta,441750,1380,320,900,1.5,43,93 %
Brunei,438202,83,5270,0,1.8,32,80 %
Guadeloupe,400136,237,1690,-1440,2.2,44,N.A.
Belice,398845,17,22810,1200,2.3,25,46 %
Bahamas,393893,39,10010,1000,1.8,32,86 %
Martinica,375213,354,1060,-960,1.9,47,92 %
Islandia,341628,3,100250,380,1.8,37,94 %
Vanuatu,308337,25,12190,120,3.8,21,24 %
Guyana Francesa,299958,4,82200,1200,3.4,25,87 %
Barbados,287437,668,430,-79,1.6,40,31 %
Nueva Caledonia,285972,16,18280,502,2,34,72 %
Polinesia Francesa,281191,77,3660,-1000,2,34,64 %
Mayotte,273905,728,375,0,3.7,20,46 %
San Tomé y Principe,219844,228,960,-1680,4.4,19,74 %
Samoa,198643,70,2830,-2803,3.9,22,18 %
Santa Lucia,183774,301,610,0,1.4,34,19 %
Islas Canal,174140,915,190,1351,1.5,43,30 %
Guam,169031,313,540,-506,2.3,31,95 %
Curaçao,164211,370,444,515,1.8,42,89 %
Kiribati,119760,147,810,-800,3.6,23,57 %
Micronesia,115231,164,700,-600,3.1,24,21 %
Granada,112614,331,340,-200,2.1,32,35 %
St. Vincent y Grenadinas,111002,284,390,-200,1.9,33,53 %
Aruba,106845,593,180,201,1.9,41,44 %
Tonga,105901,147,720,-800,3.6,22,24 %
Islas Virgenes,104398,298,350,-451,2,43,96 %
Seychelles,98453,214,460,-200,2.5,34,56 %
Antigua y Barbuda,98069,223,440,0,2,34,26 %
Isla de Man,85112,149,570,,N.A.,N.A.,53 %
Andorra,77287,164,470,,N.A.,N.A.,88 %
Dominica,72017,96,750,,N.A.,N.A.,74 %
Islas Cayman,65854,274,240,,N.A.,N.A.,97 %
Bermuda,62237,1246,50,,N.A.,N.A.,97 %
Islas Marshall,59259,329,180,,N.A.,N.A.,70 %
Islas Mariana del Norte,57619,125,460,,N.A.,N.A.,88 %
Groenlandia,56787,0,410450,,N.A.,N.A.,87 %
Samoa Americana,55169,276,200,,N.A.,N.A.,88 %
Saint Kitts y Nevis,53264,205,260,,N.A.,N.A.,33 %
Islas Feroe,48896,35,1396,,N.A.,N.A.,43 %
San Martín,42960,1261,34,,N.A.,N.A.,96 %
Monaco,39290,26337,1,,N.A.,N.A.,N.A.
